Repository,Topic,Subtopic,Source_Path,Date Revised 
Agentic_AI,CrewAI,CrewAI basics,apps/Crew AI/Crew_AI_Basics.ipynb,
Agentic_AI,Multi-Agent Systems,Multi-agent framework,apps/Crew AI/MultiAgentFramework.ipynb,
Agentic_AI,Agentic AI,ReAct agent basics,apps/Crew AI/React_agent_basic.ipynb,
Agentic_AI,Agentic AI,Tool use and planning in agents,apps/Crew AI/Tool Use and Planning in Agents.ipynb,
Agentic_AI,Agentic AI Project,Travel destination recommender,apps/Crew AI/Travel_Destination_Recommendor.ipynb,
Agentic_AI,Agentic AI Project,Destination recommender,apps/Crew AI/destination_recommender.ipynb,
Agentic_AI,Agentic AI,Agent working/status checks,apps/Crew AI/agent_working_status_check.ipynb,
Agentic_AI,Agentic SOP Automation,Agentic architecture,apps/Agentic_SOP/agentic_app/agentic_Architecture.ipynb,
Agentic_AI,Agentic SOP Automation,Planner agent,apps/Agentic_SOP/agentic_app/agents/planner_agent.py,
Agentic_AI,Agentic SOP Automation,Executor agent,apps/Agentic_SOP/agentic_app/agents/executor_agent.py,
Agentic_AI,Agentic SOP Automation,Reflection agent,apps/Agentic_SOP/agentic_app/agents/reflection_agent.py,
Agentic_AI,Agentic SOP Automation,Supervisor agent,apps/Agentic_SOP/agentic_app/agents/supervisor_agent.py,
Agentic_AI,Agentic SOP Automation,Short-term memory,apps/Agentic_SOP/agentic_app/memory/short_term_memory.py,
Agentic_AI,Agentic SOP Automation,Long-term memory,apps/Agentic_SOP/agentic_app/memory/long_term_memory.py,
Agentic_AI,Agentic SOP Automation,Agent state schema,apps/Agentic_SOP/agentic_app/schemas/agent_state.py,
Agentic_AI,Agentic SOP Automation,Tool schema,apps/Agentic_SOP/agentic_app/schemas/tool_schema.py,
Agentic_AI,Agentic SOP Automation,Tool registry,apps/Agentic_SOP/agentic_app/tools/tool_registry.py,
Agentic_AI,Agentic SOP Automation,Invoice tools,apps/Agentic_SOP/agentic_app/tools/invoice_tools.py,
Agentic_AI,Agentic SOP Automation,Audit logging,apps/Agentic_SOP/app/audit_logger.py,
Agentic_AI,Agentic SOP Automation,Human escalation,apps/Agentic_SOP/app/escalation.py,
Agentic_AI,Agentic SOP Automation,Execution workflow,apps/Agentic_SOP/app/executor.py,
Agentic_AI,LangGraph,LangGraph basics,apps/LangGraph/Basic_LangGraph.py,
Agentic_AI,LangGraph,StateGraph,apps/LangGraph/StateGraph.ipynb,
Agentic_AI,LangGraph,Pydantic state/models,apps/LangGraph/Pydantic.ipynb,
Agentic_AI,LangGraph,Human-in-the-loop basics,apps/LangGraph/Human_in_loop/human_in_loop_basic.py,
Agentic_AI,LangGraph,Human approval workflow,apps/LangGraph/Human_in_loop/approval.ipynb,
Agentic_AI,LangGraph,Resume interrupted workflow,apps/LangGraph/Human_in_loop/resume.ipynb,
Agentic_AI,LangGraph,Multiturn conversation,apps/LangGraph/Human_in_loop/multiturn_conversation.py,
Agentic_AI,LangGraph,Command-based resume/control,apps/LangGraph/Human_in_loop/use_command.py,
Agentic_AI,LangGraph,Chatbot,apps/LangGraph/chatbot/chatbot.py,
Agentic_AI,LangGraph,Chatbot with tools,apps/LangGraph/chatbot/chatbot_with_tools.py,
Agentic_AI,LangGraph,In-memory checkpointer,apps/LangGraph/chatbot/chat_with_in_memory_checkpointer.py,
Agentic_AI,LangGraph,SQLite checkpointer,apps/LangGraph/chatbot/chat_with_sqlite_checkpointer.py,
Agentic_AI,LangGraph,ReAct agent,apps/LangGraph/langgraph_react_Agent.ipynb,
Agentic_AI,LangGraph,Orchestrator pattern,apps/LangGraph/orchestrator.ipynb,
Agentic_AI,LangGraph,Reflection agent chains,apps/LangGraph/reflection_Agent_chains.ipynb,
Agentic_AI,LangGraph,Reflexion agent system,apps/LangGraph/reflexion_agent_system.ipynb,
Agentic_AI,RAG,RAG fundamentals,apps/RAG/Theory/T_RAG.ipynb,
Agentic_AI,RAG,RAG libraries,apps/RAG/Theory/T_RAG_Libraries.ipynb,
Agentic_AI,RAG,Search techniques in RAG,apps/RAG/Theory/Seaches_in_RAG.IPYNB,
Agentic_AI,RAG,Multimodal RAG theory,apps/RAG/Theory/Multi_modal_rag.ipynb,
Agentic_AI,RAG,ChromaDB RAG,apps/RAG/RAG_Chromadb.ipynb,
Agentic_AI,RAG,FAISS with LangChain,apps/RAG/RAG_LangChain_FAISS.py,
Agentic_AI,RAG,FAISS with LangGraph,apps/RAG/RAG_LangGraph_FAISS.py,
Agentic_AI,RAG,Cosine similarity retrieval,apps/RAG/RAG_cosine_sim.ipynb,
Agentic_AI,RAG,Astra DB vector database,apps/RAG/Astradb/Astradb.ipynb,
Agentic_AI,RAG,Hugging Face based RAG,apps/RAG/RAG_with_huggingface.ipynb,
Agentic_AI,RAG Evaluation,Character Error Rate (CER) evaluation,apps/RAG/RAG_evals/cer_evaluation/cer_eval.ipynb,
Agentic_AI,RAG Evaluation,Ground-truth vs extracted-output evaluation,apps/RAG/RAG_evals/data/evaluation/,
Agentic_AI,RAG,OpenAI-based RAG agent,apps/RAG/working_openai_agent.py,
Agentic_AI,RAG,Claude-based RAG agent,apps/RAG/working_claude_agent.py,
Agentic_AI,RAG Evaluation,RAG evaluation fundamentals,apps/rag_evaluation/Theory/0_funda.ipynb,
Agentic_AI,RAG Evaluation,Document extraction evaluation,apps/rag_evaluation/Theory/1.Document_Extraction_Evaluation.ipynb,
Agentic_AI,RAG Evaluation,Indexing and chunking evaluation,apps/rag_evaluation/Theory/2.Indexing_and_chunking_eval.ipynb,
Agentic_AI,RAG Evaluation,Answer correctness evaluation,apps/rag_evaluation/Theory/Answer_correctly.ipynb,
Agentic_AI,RAG Evaluation,End-to-end evaluation,apps/rag_evaluation/Theory/Perform_eval.ipynb,
Agentic_AI,RAG Evaluation,Ranking evaluation,apps/rag_evaluation/Theory/rank_eval.ipynb,
Agentic_AI,RAG Evaluation,Evaluation usage/workflow,apps/rag_evaluation/Theory/use_eval.ipynb,
Agentic_AI,RAG Evaluation,Vector database basics,apps/rag_evaluation/Theory/vectordb_basics.ipynb,
Agentic_AI,RAG Evaluation,Chunking implementation,apps/rag_evaluation/src/chuncking/chunker.py,
Agentic_AI,RAG Evaluation,Azure embedding client,apps/rag_evaluation/src/embeddings/azure_embedding_client.py,
Agentic_AI,RAG Evaluation,CER metric implementation,apps/rag_evaluation/src/evaluation/extraction_metrics/cer.py,
Agentic_AI,RAG Evaluation,Chunk coverage metric,apps/rag_evaluation/src/evaluation/extraction_metrics/chuncking_metrics/chunk coverage.py,
Agentic_AI,RAG Evaluation,Indexing evaluation runner,apps/rag_evaluation/run_indexing.py,
Agentic_AI,RAG Evaluation,Retrieval evaluation runner,apps/rag_evaluation/run_retrieval_evaluation.py,
Agentic_AI,RAG Evaluation,Evaluation pipeline runner,apps/rag_evaluation/run_evaluation.py,
Agentic_AI,Multimodal RAG,Document layout parsing,apps/multimodal_rag/Theory/Document_layout_parsing.ipynb,
Agentic_AI,Multimodal RAG,Table extraction methods,apps/multimodal_rag/Theory/types_of_table_Extraction.ipynb,
Agentic_AI,Multimodal RAG,RAG evaluation concepts,apps/multimodal_rag/Theory/Rag_eval.ipynb,
Agentic_AI,Multimodal RAG,PDF/invoice document extraction,apps/multimodal_rag/data/input/,
Agentic_AI,Multimodal RAG,Image/figure/table extraction,apps/multimodal_rag/data/extracted/images/,
Agentic_AI,Multimodal RAG,Visual analysis,apps/multimodal_rag/data/processed/visual_analysis.json,
Agentic_AI,Multimodal RAG,CER-based extraction evaluation,apps/multimodal_rag/data/evaluation/invoice_003/cer_report.json,
Agentic_AI,RAG Observability,Observability fundamentals,apps/rag_observability/Theory/observability_funda.ipynb,
Agentic_AI,RAG Observability,Observability metrics,apps/rag_observability/Theory/metrics.ipynb,
Agentic_AI,RAG Observability,Operational commands,apps/rag_observability/Theory/commands.ipynb,
Agentic_AI,RAG Observability,Document API,apps/rag_observability/app/api/documents.py,
Agentic_AI,RAG Observability,Retrieval API,apps/rag_observability/app/api/retrieval.py,
Agentic_AI,RAG Observability,API routing,apps/rag_observability/app/api/routes.py,
Agentic_AI,RAG Observability,Database connection,apps/rag_observability/app/database/connection.py,
Agentic_AI,RAG Observability,Database models,apps/rag_observability/app/database/models.py,
Agentic_AI,RAG Observability,Generation prompting,apps/rag_observability/app/generation/prompt.py,
Agentic_AI,RAG Observability,Generation service,apps/rag_observability/app/generation/service.py,
Agentic_AI,RAG Observability,Document chunking,apps/rag_observability/app/ingestion/chunker.py,
Agentic_AI,RAG Observability,Document extraction,apps/rag_observability/app/ingestion/extractor.py,
Agentic_AI,RAG Observability,Ingestion service,apps/rag_observability/app/ingestion/service.py,
Agentic_AI,RAG Observability,Azure OpenAI client,apps/rag_observability/app/llm/azure_openai.py,
Agentic_AI,RAG Observability,Logging,apps/rag_observability/app/observability/logging.py,
Agentic_AI,RAG Observability,Metrics instrumentation,apps/rag_observability/app/observability/metrics.py,
Agentic_AI,RAG Observability,Middleware/request context,apps/rag_observability/app/observability/middleware.py,
Agentic_AI,RAG Observability,Distributed tracing,apps/rag_observability/app/observability/tracing.py,
Agentic_AI,Docker,Docker theory,apps/Docker/Docker_Theory.ipynb,
Agentic_AI,Docker,Dockerfile / image build,apps/Docker/Dockerfile,
Agentic_AI,Docker,Docker Compose,apps/Docker/docker-compose.yml,
Agentic_AI,FastAPI,FastAPI application,apps/Docker/my_fast_api/main.py,
Agentic_AI,FastAPI,HTML templates/static assets,apps/Docker/my_fast_api/templates/; apps/Docker/my_fast_api/static/,
Agentic_AI,Generative AI,Generative AI fundamentals,apps/GENAI/Fundamentals_of_Generative_AI.ipynb,
Agentic_AI,Claude / LLM Tooling,Claude usage and explanation,apps/Claude/claude_explanation.ipynb,
Agentic_AI,Claude / LLM Tooling,Azure Claude proxy,apps/Claude/.claude/azure_claude_proxy.py,
Agentic_AI,Claude / LLM Tooling,Claude CLI,apps/Claude/claude_cli.py,
Agentic_AI,Claude / LLM Tooling,Claude custom code-review agent,apps/Claude/.claude/agents/code_reviewer/,
Agentic_AI,Claude / LLM Tooling,Custom Claude skills / API fetch skill,apps/Claude/.claude/skills/fetchAPI/,
Agentic_AI,Financial Data Integration,NSE integration,apps/Claude/.claude/connect_NSE.py; NSE2.py,
Agentic_AI,Financial Data Integration,BSE integration,apps/Claude/.claude/connect to BSE.py; bse2.py,
Agentic_AI,Financial Data Integration,LiveMint integration,apps/Claude/.claude/connect_livemint.py; new_livemint.py,
Agentic_AI,Financial Data Integration,Moneycontrol integration,apps/Claude/.claude/connect_ro_MC.py,
Agentic_AI,Financial Data Integration,Trendlyne integration,apps/Claude/.claude/connect_tendlyne.py; trendlyne2.py,
Agentic_AI,Financial Data Integration,ET Money integration,apps/Claude/.claude/Connect_to_ETMoney.py,
Agentic_AI,Financial Data Integration,News feed integration,apps/Claude/.claude/connect to newsfees.py,
Agentic_AI,Financial Data Integration,PIB integration,apps/Claude/.claude/pib.py,
Agentic_AI,Financial Data Integration,Consolidated multi-source connection,apps/Claude/.claude/consolidated_source_connection.py,
Agentic_AI,Agentic RAG,OpenAI agent implementation,apps/agentic_rag/working_openai_agent.py,
Agentic_AI,Agentic RAG,Claude agent implementation,apps/agentic_rag/working_claude_agent.py,
Agentic_AI,Smart Route Recommender,Route recommendation project,apps/Smart_route_recommender/,
Agentic_AI,Claude on Azure,Claude/Azure integration project,apps/claude_azure/,
Agentic_AI,MADP,MADP project/module,apps/madp/,
